epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9344,1.59447,2.32228,1.22611,0.64526,0.58344,0.61404,0.29306,1.95801,1.87585,1.39028,0.000656566,0.000656566,0.000656566
2,26.3403,1.4157,1.00154,1.13132,0.84093,0.79245,0.85557,0.48644,1.65155,1.78322,1.30911,0.00125773,0.00125773,0.00125773
3,34.7269,1.461,0.9952,1.12722,0.80783,0.81132,0.84586,0.50557,1.52853,1.21356,1.24346,0.0017929,0.0017929,0.0017929
4,43.2651,1.45804,0.88445,1.16224,0.82915,0.5723,0.67078,0.3503,nan,nan,nan,0.001703,0.001703,0.001703
5,50.8341,1.38174,0.85972,1.11816,0.85404,0.53774,0.60355,0.36181,1.60792,2.48811,1.34735,0.001604,0.001604,0.001604
6,58.9846,1.37232,0.84084,1.10012,0.91724,0.8887,0.94652,0.6093,1.44202,0.79906,1.17589,0.001505,0.001505,0.001505
7,67.9769,1.32333,0.77698,1.0743,0.83526,0.35849,0.47301,0.26966,1.61997,3.11658,1.28584,0.001406,0.001406,0.001406
8,75.5587,1.31995,0.75645,1.0855,0.93431,0.87736,0.95358,0.62918,1.20436,0.73415,1.0999,0.001307,0.001307,0.001307
9,83.846,1.27029,0.70101,1.06873,0.91085,0.91038,0.94935,0.6262,1.26411,0.82553,1.10122,0.001208,0.001208,0.001208
10,91.4814,1.29404,0.7184,1.06478,0.94643,0.66673,0.81007,0.52876,1.48934,1.43604,1.18831,0.001109,0.001109,0.001109
11,99.3936,1.2794,0.67387,1.12071,0.92069,0.93868,0.97532,0.63293,1.3262,1.01193,1.10573,0.00101,0.00101,0.00101
12,107.629,1.26496,0.66214,1.09971,0.88129,0.84042,0.91799,0.58326,1.37024,0.94766,1.12941,0.000911,0.000911,0.000911
13,115.416,1.24527,0.62706,1.10535,0.94632,0.83157,0.93365,0.64697,1.23222,0.73413,1.08454,0.000812,0.000812,0.000812
14,123.829,1.22506,0.60944,1.07658,0.94895,0.90094,0.9644,0.65416,1.24394,0.64554,1.08499,0.000713,0.000713,0.000713
15,132.323,1.21336,0.59239,1.08235,0.91186,0.96226,0.96983,0.66648,1.19467,0.59503,1.07332,0.000614,0.000614,0.000614
16,141.151,1.21183,0.57923,1.08195,0.92634,0.91038,0.96136,0.6691,1.25464,0.57713,1.0811,0.000515,0.000515,0.000515
17,149.574,1.20343,0.57318,1.07129,0.91995,0.95755,0.97446,0.67203,1.14958,0.58738,1.05987,0.000416,0.000416,0.000416
18,158.456,1.17831,0.559,1.05632,0.92217,0.95283,0.98212,0.68379,1.15707,0.59085,1.05017,0.000317,0.000317,0.000317
19,166.78,1.17555,0.54985,1.04699,0.91185,0.95755,0.97898,0.68561,1.159,0.5591,1.04789,0.000218,0.000218,0.000218
20,175.474,1.16913,0.54054,1.05158,0.92873,0.96226,0.98491,0.69104,1.10213,0.52843,1.03984,0.000119,0.000119,0.000119
